,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,AGREEMENT_RK,TARGET,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
82,1,0,1,1,1,59920871,0,15000.0,2,2
83,1,0,0,1,1,59920924,0,15000.0,1,1
84,1,0,1,0,0,59921016,1,10000.0,1,1
85,1,0,1,0,0,59921388,0,15000.0,1,1
86,1,0,1,1,1,59921422,0,8000.0,1,1
87,1,0,0,2,0,59921596,0,25000.0,1,1
88,1,0,1,1,1,59921625,0,11000.0,1,1
89,1,0,1,1,0,59921843,0,8500.0,1,1
90,1,0,0,3,0,59922010,0,4000.0,1,1
91,1,1,1,3,3,59922118,0,15000.0,2,1
92,1,0,0,1,0,59922128,0,8000.0,1,1
93,1,0,0,1,0,59923054,0,10000.0,1,1
94,1,0,0,0,0,59923107,0,18000.0,1,1
95,1,0,0,3,1,59923159,0,15000.0,1,1
96,1,0,0,2,0,59923161,0,12000.0,1,1
97,1,0,1,1,1,59923165,0,7300.0,1,1
98,1,0,1,0,0,59923241,0,25000.0,1,1
99,1,0,1,0,0,59923269,0,8000.0,1,1
100,1,0,0,0,0,59923341,0,12000.0,1,1
101,1,0,0,1,0,59923386,0,8000.0,1,1
102,1,0,1,2,2,59923424,0,10000.0,1,1
103,1,0,0,1,1,59923546,0,14500.0,1,1
104,0,1,0,2,0,59923557,0,5000.0,1,1
105,1,0,0,0,0,59923612,0,10000.0,2,1
106,0,1,1,0,0,59923663,1,6000.0,1,1
107,1,0,1,1,1,59923678,0,5000.0,1,1
108,1,0,0,1,2,59923884,0,12000.0,1,1
109,1,1,0,0,0,59924026,0,30000.0,1,1
110,0,1,0,0,0,59924048,0,6000.0,1,1
111,1,0,0,2,2,59924146,0,27000.0,1,1
112,1,0,1,2,2,59924239,0,9000.0,1,1
113,1,0,0,0,0,59924607,0,18000.0,1,1
114,1,0,0,2,2,59925055,0,6000.0,2,2
115,1,0,0,1,0,59925110,0,15000.0,1,1
116,1,0,0,1,1,59925185,0,13500.0,1,1
117,1,0,1,1,1,59925195,0,6500.0,1,1
118,1,0,0,2,2,59925200,0,14000.0,1,1
119,1,0,1,1,1,59925263,0,15000.0,1,1
120,1,0,0,1,1,59925320,0,20000.0,1,1
121,1,0,1,1,1,59925344,0,10000.0,1,1
122,1,0,1,2,1,59925421,0,8600.0,1,1
123,1,0,1,1,1,59925539,0,35000.0,1,1
124,1,0,0,0,0,59925799,0,15000.0,1,1
125,0,1,1,0,0,59925843,0,8000.0,2,2
126,1,0,1,0,0,59925872,0,15000.0,1,1
127,1,0,0,4,4,59925882,0,38000.0,3,2
128,1,0,1,0,0,59925955,0,25000.0,1,1
129,1,0,1,1,1,59926091,1,11000.0,1,1
130,1,0,1,1,1,59926221,0,15000.0,1,1
131,1,0,1,2,2,59926263,0,10000.0,1,1
132,1,0,1,2,0,59926295,0,6000.0,1,1
133,1,0,1,0,0,59926408,0,12000.0,1,1
134,1,0,1,2,2,59926549,0,5000.0,1,1
135,1,0,1,1,1,59926704,0,10000.0,2,2
136,1,0,0,1,1,59926732,0,6200.0,1,1
137,1,0,0,0,0,59926912,0,10000.0,1,1
138,1,0,0,2,2,59926936,0,20000.0,1,1
139,1,0,1,0,0,59927010,0,15000.0,1,1
140,1,0,1,0,0,59927078,0,6000.0,1,1
141,1,0,0,1,0,59927260,0,8000.0,1,1
142,0,1,1,2,0,59927432,0,7000.0,1,1
143,1,0,1,1,1,59927451,0,10500.0,1,1
144,1,0,1,0,0,59927525,0,170000.0,1,1
145,1,1,1,0,0,59927554,0,15000.0,1,1
146,1,0,1,2,2,59927584,0,15000.0,1,1
147,1,0,1,2,0,59927613,0,10000.0,1,1
148,1,0,1,1,1,59927690,0,8000.0,1,1
149,1,0,1,1,1,59927793,0,10000.0,2,2
150,1,0,1,0,0,59927798,0,9000.0,1,1
151,1,0,0,0,0,59927827,0,20000.0,1,1
152,1,0,1,2,2,59927916,0,60000.0,1,1
153,1,0,0,2,2,59927923,0,10000.0,1,1
154,1,0,1,2,2,59928049,0,8000.0,1,1
155,1,0,0,2,0,59928086,0,7000.0,1,1
156,1,0,0,2,0,59928106,0,15600.0,1,1
157,1,1,1,3,1,59928443,0,36000.0,2,1
158,1,0,1,2,2,59928497,0,10000.0,1,1
159,1,0,0,2,2,59928561,1,12000.0,2,2
160,1,0,1,0,0,59928609,0,25000.0,1,1
161,1,0,1,0,0,59928861,0,12000.0,1,1
162,1,0,0,0,0,59928901,1,15000.0,2,2
163,1,0,0,2,2,59928942,0,10000.0,3,2
164,1,0,1,2,2,59929169,0,3300.0,1,1
165,1,0,0,1,2,59929176,0,30000.0,2,1
166,1,0,1,2,0,59929197,0,8000.0,2,1
167,1,0,0,1,2,59929552,0,25000.0,2,2
168,1,0,1,1,1,59929697,0,6000.0,1,1
169,1,0,0,1,1,59929797,0,10000.0,1,1
170,1,0,0,1,1,59929832,0,6500.0,1,1
171,1,0,0,1,1,59929846,0,25000.0,1,1
172,1,1,1,1,0,59929855,0,9300.0,1,1
173,1,0,0,1,1,59929948,0,10000.0,1,1
174,1,0,0,0,0,59930128,0,15000.0,1,1
175,1,0,0,1,1,59930152,0,8000.0,1,1
176,1,0,0,0,0,59930194,1,13000.0,1,1
177,1,0,1,1,1,59930219,0,18000.0,2,2
178,1,0,1,0,0,59930389,0,10000.0,1,1
179,1,0,0,0,0,59930422,0,40000.0,1,1
180,1,0,0,3,0,59930424,0,12000.0,1,1
181,1,1,1,3,0,59930490,0,20000.0,1,1
182,1,0,0,0,0,59930738,0,35000.0,1,1
183,0,1,1,1,0,59930942,0,8000.0,1,1
184,1,0,1,0,0,59931044,0,18000.0,1,1
185,1,0,1,1,0,59931084,0,17000.0,1,1
186,1,0,0,2,2,59931383,0,6000.0,2,1
187,1,0,0,0,0,59931442,0,5500.0,1,1
188,1,0,0,0,0,59931474,0,28000.0,1,1
189,1,0,1,2,0,59931501,0,9000.0,1,1
190,1,0,1,1,1,59931579,0,14000.0,1,1
191,0,1,1,0,0,59931599,0,9000.0,1,1
192,1,0,1,0,0,59931767,0,7000.0,1,1
193,0,1,1,0,0,59931796,0,7000.0,1,1
194,1,0,1,2,2,59931959,0,10000.0,1,1
195,1,0,1,1,0,59931983,1,25000.0,1,1
196,1,0,0,0,0,59932008,0,20000.0,1,1
197,0,1,1,0,0,59932142,0,10000.0,1,1
198,1,0,0,1,0,59932520,0,10000.0,1,1
199,1,1,1,0,0,59932632,0,15000.0,2,2
200,1,0,1,2,2,59932724,1,12000.0,2,2
201,1,0,1,2,0,59932922,0,15000.0,1,1
202,1,0,1,1,1,59933024,0,2300.0,1,1
203,1,0,1,0,0,59933083,1,12000.0,1,1
204,1,0,0,1,1,59933136,0,20000.0,2,2
205,1,0,0,0,0,59933153,0,12000.0,1,1
206,1,0,1,1,1,59933221,0,7000.0,1,1
207,1,0,1,1,1,59933246,1,12000.0,1,1
208,1,0,0,1,1,59933395,0,15000.0,1,1
209,1,0,1,0,0,59933459,0,8000.0,2,2
210,1,0,1,1,0,59933661,0,30000.0,1,1
211,1,1,1,1,1,59933854,0,10000.0,1,1
212,1,0,0,1,1,59933862,0,6000.0,1,1
213,1,0,1,0,0,59934004,0,12000.0,1,1
214,1,0,0,0,0,59934011,0,15000.0,1,1
215,1,0,1,2,2,59934078,0,15000.0,1,1
216,1,0,1,0,0,59934125,0,5000.0,1,1
217,1,0,0,1,1,59934296,0,12000.0,1,1
218,1,0,0,2,2,59934364,1,32000.0,1,1
219,1,0,1,0,0,59934448,0,20000.0,2,2
220,1,0,0,2,0,59934534,0,10000.0,1,1
221,0,1,1,1,0,59934860,0,5500.0,1,1
222,1,0,1,0,0,59935108,0,12000.0,2,1
223,1,0,1,1,1,59935125,0,13500.0,1,1
224,1,1,1,0,0,59935139,0,5000.0,1,1
225,1,0,0,2,2,59935159,0,11000.0,2,2
226,1,0,1,0,0,59935199,0,15000.0,1,1
227,1,0,0,2,2,59935377,0,21000.0,1,1
228,1,0,0,0,0,59935448,1,28000.0,1,1
229,1,0,1,1,1,59935469,0,18000.0,2,1
230,1,0,0,0,0,59935708,0,35000.0,1,1
231,1,0,1,2,1,59935718,0,30000.0,1,1
232,1,1,1,0,0,59935837,0,7500.0,3,2
233,0,1,1,0,0,59935839,0,8400.0,2,2
234,1,0,1,2,0,59935875,1,5600.0,1,1
235,1,0,1,1,1,59935933,0,15000.0,1,1
236,1,0,0,0,0,59936064,0,13000.0,1,1
237,1,0,1,0,0,59936342,0,20000.0,1,1
238,1,0,1,1,1,59936570,0,25000.0,2,1
239,1,0,1,2,2,59936617,0,6000.0,1,1
240,1,0,1,2,2,59936794,0,9800.0,1,1
241,1,0,0,1,1,59936799,1,12000.0,1,1
242,1,0,0,0,0,59936804,0,11000.0,1,1
243,1,0,1,1,1,59936830,0,15000.0,1,1
244,1,0,1,0,0,59936839,0,10000.0,1,1
245,1,0,1,1,1,59937023,0,9000.0,1,1
246,1,0,1,0,0,59937024,0,15000.0,1,1
247,1,0,1,1,1,59937151,0,6500.0,1,1
248,1,0,1,1,0,59937320,0,10000.0,1,1
249,1,0,1,1,0,59937564,0,7000.0,1,1
250,1,0,0,3,0,59937712,0,30000.0,1,1
251,1,0,0,1,1,59937776,0,35000.0,1,1
252,1,0,1,1,0,59937805,1,10000.0,1,1
253,1,0,0,2,2,59937843,1,25000.0,1,1
254,1,0,0,2,2,59937903,0,10000.0,1,1
255,1,0,1,1,1,59938197,1,12500.0,1,1
256,1,0,1,0,0,59938227,0,10000.0,1,1
257,1,0,1,2,0,59938300,1,7000.0,1,1
258,1,0,0,0,0,59938618,0,20000.0,1,1
259,1,0,1,0,0,59938735,0,10000.0,2,1
260,1,0,1,0,0,59938893,0,14000.0,1,1
261,1,0,1,0,0,59939017,0,10000.0,1,1
262,1,0,1,2,0,59939096,0,10000.0,1,1
263,0,1,1,1,0,59939171,0,6000.0,1,1
264,0,1,0,0,0,59939180,0,4300.0,1,1
265,1,0,1,0,0,59939268,1,12000.0,1,1
266,1,0,0,0,0,59939374,0,10000.0,1,1
267,0,1,1,3,0,59939381,0,5000.0,1,1
268,1,0,0,0,0,59939625,0,24000.0,2,1
269,1,0,0,1,1,59939725,0,7000.0,1,1
270,1,0,0,0,0,59939737,0,20000.0,1,1
271,1,0,0,0,0,59939829,0,12000.0,1,1
272,1,0,1,0,0,59939964,0,10000.0,1,1
273,0,1,1,4,0,59940247,0,6200.0,1,1
274,0,1,1,2,0,59940316,0,4500.0,1,1
275,1,0,1,0,0,59940352,0,20000.0,1,1
276,1,0,0,1,1,59940513,0,20000.0,1,1
277,0,1,1,0,0,59940804,0,7000.0,1,1
278,1,0,1,1,1,59940865,0,15000.0,1,1
279,1,0,1,2,1,59959596,0,15000.0,1,1
280,1,0,0,0,0,59959659,0,10000.0,1,1
281,0,1,1,0,0,59959827,0,5000.0,1,1
282,0,1,1,0,0,59959841,0,6000.0,1,1
283,1,0,1,2,2,59959893,0,11000.0,1,1
284,0,1,1,0,0,59960027,0,8000.0,1,1
285,1,0,1,1,0,59960165,0,20000.0,1,1
286,1,0,1,1,1,59960311,0,16000.0,1,1
287,1,0,1,1,1,59960473,0,20000.0,1,1
288,1,0,0,0,0,59960871,0,40000.0,1,1
289,1,0,0,0,0,59961022,0,12000.0,1,1
290,0,1,1,0,0,59961183,0,9000.0,1,1
291,1,0,0,3,3,59961222,0,12000.0,1,1
292,1,0,1,0,0,59961282,0,40000.0,1,1
293,1,0,0,2,2,59961652,0,30000.0,1,1
294,1,0,0,0,0,59961674,0,15000.0,1,1
295,1,0,1,1,1,59961924,0,10000.0,1,1
296,1,0,1,2,2,59961994,0,10000.0,1,0
297,1,0,0,0,0,59962281,0,6000.0,1,1
298,1,0,0,1,1,59962548,0,15000.0,1,1
299,0,1,1,0,0,59963195,0,4950.0,1,1
300,1,0,0,2,0,59963382,0,5500.0,1,1
301,1,0,0,3,0,59963388,0,7000.0,1,1
302,1,0,0,4,0,59963500,0,15000.0,1,1
303,1,0,1,2,0,59963503,0,8000.0,1,1
304,1,0,0,1,1,59963696,0,15000.0,1,0
305,1,0,0,2,1,59963728,1,8000.0,1,0
306,1,0,0,1,1,59963789,0,28000.0,1,0
307,1,0,0,2,2,59964073,0,10000.0,1,1
308,1,0,0,1,1,59964749,0,11000.0,1,0
309,1,0,1,0,0,59965101,0,5000.0,1,0
310,1,0,1,1,1,59965218,0,11000.0,1,1
311,1,0,0,1,0,59965290,0,7000.0,1,1
312,1,0,1,0,0,59965423,0,6000.0,1,0
313,1,0,1,2,0,59965770,0,9000.0,1,0
314,1,0,1,0,0,59965990,0,13000.0,1,0
315,1,0,1,1,0,59966257,0,7000.0,1,0
316,1,0,1,1,0,59966422,0,15000.0,1,0
317,1,0,0,1,1,59966502,0,8000.0,1,0
318,1,0,1,1,0,59966600,0,12000.0,1,0
319,1,0,1,0,0,59966625,0,20000.0,1,0
320,1,0,1,1,1,59966861,0,6000.0,1,0
321,0,1,1,2,0,59966928,0,6500.0,1,0
322,0,1,1,2,0,59966946,0,6000.0,1,1
323,1,0,0,3,3,59966989,1,10000.0,1,0
324,1,1,0,2,0,59967229,0,14000.0,1,0
325,1,0,0,3,0,59967312,0,10000.0,1,0
326,1,0,1,0,0,59967428,0,8000.0,1,1
327,1,0,1,2,0,59967705,0,5000.0,1,0
328,1,0,0,0,0,59967858,0,30000.0,1,1
329,1,0,0,2,2,59968198,0,17000.0,1,0
330,1,0,1,0,0,59968281,0,10000.0,1,0
331,1,0,1,2,2,59968297,0,6000.0,1,0
332,1,0,1,2,2,59968300,0,10000.0,1,0
333,1,0,1,2,1,59968305,1,12000.0,1,0
334,1,0,1,0,0,59968371,0,8000.0,1,0
335,1,0,1,0,0,59968581,0,6000.0,1,0
336,1,0,1,1,0,59968595,0,13000.0,1,0
337,1,0,1,1,1,59968635,0,8000.0,1,0
338,1,0,0,0,0,59968922,0,15000.0,1,0
339,1,0,1,0,0,59968999,1,5000.0,1,0
340,1,0,0,3,0,59969048,0,25000.0,1,0
341,1,0,0,0,0,59969123,0,7000.0,1,0
342,1,0,1,2,2,59969141,0,18000.0,1,0
343,0,1,0,3,0,59969211,0,6000.0,1,0
344,1,0,1,0,0,59969405,0,15000.0,1,0
345,1,0,1,2,2,59969541,0,9000.0,1,0
346,1,0,0,1,1,59969571,0,10000.0,2,1
347,1,0,0,1,1,59969781,0,10000.0,1,0
348,1,0,1,0,0,59969988,0,13000.0,1,1
349,1,0,1,1,1,59970015,0,6500.0,1,1
350,0,1,1,1,0,59970019,0,4000.0,1,0
351,1,0,1,0,0,59970582,0,16000.0,1,0
352,1,0,1,0,0,59971711,0,20000.0,1,0
353,1,0,1,1,1,59971939,0,20000.0,1,0
354,1,0,1,1,1,59972108,1,9500.0,1,0
355,1,0,0,0,0,59972120,0,15000.0,1,1
356,1,0,1,0,0,59972240,1,7800.0,1,0
357,1,0,1,1,1,59972495,0,24000.0,1,1
358,1,0,1,1,0,59972509,1,18000.0,1,0
359,0,1,1,2,1,59972881,0,4600.0,1,0
360,1,0,1,2,1,59972887,0,36000.0,1,0
361,1,0,0,3,0,59973018,0,6000.0,1,0
362,1,0,1,0,0,59973106,0,15000.0,1,0
363,1,0,1,1,1,59973119,0,9000.0,1,0
364,1,0,1,2,0,59973194,0,10500.0,1,1
365,1,0,1,0,0,59973367,1,8000.0,1,0
366,1,0,1,1,1,59973701,0,7000.0,1,0
367,1,1,1,5,1,59973752,0,15000.0,1,0
368,1,0,1,1,0,59973988,0,10000.0,1,0
369,1,0,1,2,1,59974002,0,8000.0,1,0
370,0,1,1,0,0,59974159,0,5000.0,1,1
371,1,0,0,2,0,59974859,0,15000.0,1,0
372,1,0,0,1,0,59974935,0,15000.0,1,0
373,0,1,1,4,0,59974968,0,8000.0,1,0
374,1,0,0,1,1,59974976,0,9000.0,1,1
375,1,0,0,0,0,59974979,0,55000.0,1,1
376,1,0,0,2,0,59975134,1,15000.0,1,1
377,0,1,1,0,0,59975226,0,4000.0,1,1
378,1,0,0,1,1,59975401,0,15000.0,1,0
379,1,0,0,2,0,59975501,0,18000.0,1,0
380,1,0,1,1,1,59975641,0,7500.0,1,0
381,1,0,1,1,0,59975803,0,20000.0,1,0
382,1,0,1,0,0,59975854,0,9500.0,1,0
383,1,0,0,0,0,59975912,0,21000.0,1,0
384,1,0,1,1,0,59975969,0,13000.0,1,0
385,1,0,1,1,0,59975992,1,10000.0,1,0
386,1,0,0,2,2,59976017,0,23000.0,1,1
387,1,0,1,1,0,59976223,0,18000.0,1,0
388,1,0,1,2,2,59976321,0,11000.0,1,0
389,1,0,1,5,0,59976364,0,6000.0,1,0
390,1,0,1,0,0,59976454,0,4500.0,1,0
391,1,0,1,1,0,59976503,0,7500.0,1,0
392,1,0,1,2,0,59976648,0,23000.0,1,0
393,1,0,0,0,0,59976802,0,18000.0,1,0
394,1,0,1,1,0,59976840,0,7000.0,1,0
395,1,0,1,1,1,59976890,0,30000.0,1,0
396,1,0,1,1,1,59976896,0,9000.0,1,0
397,1,0,0,2,0,59977061,1,40000.0,1,0
398,1,0,1,3,0,60035449,1,5200.0,1,0
399,1,1,1,2,0,60035580,0,45000.0,1,1
400,1,0,1,2,0,60035789,1,11000.0,1,0
401,0,1,1,2,0,60035997,0,8000.0,1,0
402,1,0,1,0,0,60036099,0,7000.0,1,0
403,1,0,1,2,1,60036186,0,7000.0,1,0
404,1,0,0,4,0,60036487,1,29000.0,1,0
405,0,1,1,0,0,60036811,0,11000.0,1,0
406,1,0,1,0,0,60036992,0,6500.0,1,0
407,1,0,0,2,2,60037205,0,10000.0,1,0
408,1,0,0,0,0,60037207,1,12000.0,1,0
409,1,0,0,2,0,60037559,0,6000.0,1,0
410,1,0,0,3,2,60037740,0,18000.0,1,0
411,1,0,1,1,0,60037794,0,9000.0,1,0
412,1,0,0,0,0,60038271,0,10000.0,1,1
413,1,0,0,1,1,60038720,0,50000.0,1,0
414,0,1,1,0,0,60038740,0,6500.0,1,0
415,0,1,1,0,0,60039083,0,5200.0,1,0
416,1,0,1,1,1,60039189,0,17000.0,1,0
417,1,0,1,3,2,60039398,0,10000.0,1,1
418,1,0,1,0,0,60039486,0,12000.0,1,0
419,1,0,0,1,1,60039580,0,20000.0,1,0
420,1,0,1,2,0,60039657,0,14000.0,2,0
421,1,0,0,0,0,60039761,0,6000.0,2,0
422,1,0,0,1,1,60039822,0,15000.0,1,0
423,1,0,0,0,0,60040109,0,9800.0,1,1
424,1,0,0,1,1,60040119,0,30000.0,1,0
425,1,0,1,2,0,60040178,0,7000.0,1,0
426,1,0,1,1,0,60040354,0,7000.0,1,0
427,1,0,0,0,0,60040474,0,10000.0,1,0
428,1,0,0,0,0,60040982,1,20000.0,1,0
429,0,1,1,2,0,60041009,0,7800.0,1,1
430,1,0,1,1,1,60041507,0,10000.0,1,0
431,1,0,1,3,3,60041801,0,12000.0,1,1
432,1,0,1,2,0,60042352,0,18000.0,1,0
433,1,0,1,2,0,60042394,0,15000.0,1,1
434,1,0,1,0,0,60042552,0,9500.0,1,0
435,1,0,1,0,0,60042654,0,15000.0,1,0
436,1,0,0,1,1,60043044,0,10000.0,1,0
437,1,0,1,1,0,60043375,0,12000.0,1,0
438,1,0,1,1,1,60043904,0,14000.0,1,0
439,1,0,0,0,0,60043994,0,19000.0,1,1
440,1,0,1,0,0,60044030,0,9000.0,1,0
441,1,0,1,0,0,60044082,0,20000.0,1,0
442,1,0,1,0,0,60044131,1,10000.0,1,1
443,1,0,1,2,2,60044590,1,7000.0,1,0
444,0,1,1,0,0,60044649,0,5500.0,1,0
445,1,0,0,0,0,60044737,0,10000.0,1,1
446,1,0,0,3,3,60044771,0,10000.0,1,0
447,1,0,1,1,0,60044935,0,34000.0,1,0
448,1,0,1,2,0,60044974,1,5000.0,1,1
449,1,0,1,2,0,60045158,0,13900.0,1,0
450,1,0,1,2,0,60045188,0,8000.0,1,0
451,1,0,0,0,0,60045224,1,12000.0,1,0
452,1,0,0,0,0,60045353,0,23000.0,1,0
453,1,0,1,2,0,60045383,0,18000.0,1,0
454,1,0,1,0,0,60045476,0,23000.0,1,0
455,1,0,1,2,0,60045483,0,8000.0,1,0
456,1,0,1,1,1,60045495,0,20000.0,1,1
457,1,0,1,2,2,60045619,0,12000.0,1,1
458,1,0,1,1,1,60045661,0,23000.0,1,0
459,1,0,1,0,0,60045701,0,6000.0,1,0
460,1,0,1,0,0,60045935,0,11000.0,1,0
461,1,0,0,1,1,60046035,0,8500.0,1,0
462,1,0,0,1,1,60046311,0,17000.0,1,0
463,1,0,0,1,1,60046341,0,4500.0,1,0
464,1,0,1,2,0,60046535,0,6000.0,1,0
465,1,0,1,2,0,60047028,0,8000.0,1,0
466,1,0,0,2,2,60047117,0,14000.0,1,0
467,1,0,1,3,0,60047226,1,12500.0,1,0
468,1,0,0,2,0,60047260,0,15000.0,1,0
469,1,0,0,0,0,60047350,0,27000.0,1,1
470,1,0,1,0,0,60047638,0,15000.0,1,0
471,1,0,1,1,1,60047783,0,16000.0,1,0
472,1,0,1,1,1,60047856,0,8000.0,1,0
473,1,0,1,2,1,60048041,0,4300.0,1,0
474,1,0,1,2,0,60048043,0,10000.0,1,0
475,1,0,1,1,1,60048087,0,8000.0,1,0
476,1,0,0,1,1,60048317,0,12000.0,1,0
477,1,0,0,1,1,60048649,0,13000.0,1,0
478,1,0,1,1,1,60049069,1,5300.0,1,1
479,1,0,1,0,0,60049106,0,6000.0,1,1
480,1,0,0,0,0,60049146,0,7000.0,1,0
481,1,0,0,0,0,60049362,0,14000.0,1,0
482,1,0,1,0,0,60049502,0,6500.0,1,1
483,1,0,0,0,0,60049582,0,7000.0,1,0
484,1,0,0,2,2,60049600,0,15000.0,1,0
485,1,0,1,0,0,60049627,0,7000.0,1,0
486,1,0,1,2,0,60049952,0,12000.0,1,1
487,1,0,1,3,0,60050002,0,7000.0,1,1
488,1,0,1,0,0,60050202,0,5000.0,1,1
489,1,0,0,2,0,60050237,0,20000.0,1,0
490,1,0,0,2,2,60050469,0,18000.0,1,0
491,1,0,1,0,0,60050619,1,8500.0,1,0
492,1,0,0,2,2,60050670,0,40000.0,1,1
493,1,0,0,1,1,60050682,0,15000.0,1,0
494,1,0,1,3,1,60050890,0,5000.0,1,0
495,1,0,0,0,0,60050977,0,8000.0,1,1
496,1,0,0,0,0,60050998,0,14000.0,1,0
497,1,0,0,1,1,60051183,0,18000.0,1,0
498,1,0,1,0,0,60051250,0,12000.0,1,0
499,1,0,0,1,1,60051298,1,15000.0,1,0
500,1,0,1,2,2,60051509,0,8000.0,1,0
501,1,0,0,2,2,60051864,0,27000.0,1,0
502,1,0,1,0,0,60051963,1,30000.0,1,1
503,1,0,1,2,2,60052044,0,9000.0,1,0
504,1,0,0,0,0,60052064,0,15000.0,1,0
505,0,1,1,0,0,60052295,0,6300.0,1,0
506,1,0,1,1,1,60052345,0,14000.0,1,1
507,1,0,1,3,0,60052472,0,15000.0,1,1
508,1,0,1,0,0,60052509,0,10000.0,1,0
