,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,TARGET,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
299,0,1,1,0,0,0,4950.0,1,1
300,1,0,0,2,0,0,5500.0,1,1
301,1,0,0,3,0,0,7000.0,1,1
302,1,0,0,4,0,0,15000.0,1,1
303,1,0,1,2,0,0,8000.0,1,1
304,1,0,0,1,1,0,15000.0,1,0
305,1,0,0,2,1,1,8000.0,1,0
306,1,0,0,1,1,0,28000.0,1,0
308,1,0,0,1,1,0,11000.0,1,0
309,1,0,1,0,0,0,5000.0,1,0
311,1,0,0,1,0,0,7000.0,1,1
312,1,0,1,0,0,0,6000.0,1,0
313,1,0,1,2,0,0,9000.0,1,0
314,1,0,1,0,0,0,13000.0,1,0
315,1,0,1,1,0,0,7000.0,1,0
316,1,0,1,1,0,0,15000.0,1,0
317,1,0,0,1,1,0,8000.0,1,0
318,1,0,1,1,0,0,12000.0,1,0
319,1,0,1,0,0,0,20000.0,1,0
320,1,0,1,1,1,0,6000.0,1,0
321,0,1,1,2,0,0,6500.0,1,0
322,0,1,1,2,0,0,6000.0,1,1
323,1,0,0,3,3,1,10000.0,1,0
324,1,1,0,2,0,0,14000.0,1,0
325,1,0,0,3,0,0,10000.0,1,0
327,1,0,1,2,0,0,5000.0,1,0
329,1,0,0,2,2,0,17000.0,1,0
330,1,0,1,0,0,0,10000.0,1,0
331,1,0,1,2,2,0,6000.0,1,0
333,1,0,1,2,1,1,12000.0,1,0
334,1,0,1,0,0,0,8000.0,1,0
336,1,0,1,1,0,0,13000.0,1,0
337,1,0,1,1,1,0,8000.0,1,0
338,1,0,0,0,0,0,15000.0,1,0
339,1,0,1,0,0,1,5000.0,1,0
340,1,0,0,3,0,0,25000.0,1,0
341,1,0,0,0,0,0,7000.0,1,0
342,1,0,1,2,2,0,18000.0,1,0
343,0,1,0,3,0,0,6000.0,1,0
344,1,0,1,0,0,0,15000.0,1,0
345,1,0,1,2,2,0,9000.0,1,0
346,1,0,0,1,1,0,10000.0,2,1
347,1,0,0,1,1,0,10000.0,1,0
350,0,1,1,1,0,0,4000.0,1,0
351,1,0,1,0,0,0,16000.0,1,0
353,1,0,1,1,1,0,20000.0,1,0
354,1,0,1,1,1,1,9500.0,1,0
356,1,0,1,0,0,1,7800.0,1,0
357,1,0,1,1,1,0,24000.0,1,1
358,1,0,1,1,0,1,18000.0,1,0
359,0,1,1,2,1,0,4600.0,1,0
360,1,0,1,2,1,0,36000.0,1,0
361,1,0,0,3,0,0,6000.0,1,0
363,1,0,1,1,1,0,9000.0,1,0
364,1,0,1,2,0,0,10500.0,1,1
365,1,0,1,0,0,1,8000.0,1,0
366,1,0,1,1,1,0,7000.0,1,0
367,1,1,1,5,1,0,15000.0,1,0
368,1,0,1,1,0,0,10000.0,1,0
369,1,0,1,2,1,0,8000.0,1,0
371,1,0,0,2,0,0,15000.0,1,0
372,1,0,0,1,0,0,15000.0,1,0
373,0,1,1,4,0,0,8000.0,1,0
374,1,0,0,1,1,0,9000.0,1,1
375,1,0,0,0,0,0,55000.0,1,1
376,1,0,0,2,0,1,15000.0,1,1
379,1,0,0,2,0,0,18000.0,1,0
380,1,0,1,1,1,0,7500.0,1,0
381,1,0,1,1,0,0,20000.0,1,0
382,1,0,1,0,0,0,9500.0,1,0
383,1,0,0,0,0,0,21000.0,1,0
385,1,0,1,1,0,1,10000.0,1,0
386,1,0,0,2,2,0,23000.0,1,1
387,1,0,1,1,0,0,18000.0,1,0
388,1,0,1,2,2,0,11000.0,1,0
389,1,0,1,5,0,0,6000.0,1,0
390,1,0,1,0,0,0,4500.0,1,0
391,1,0,1,1,0,0,7500.0,1,0
392,1,0,1,2,0,0,23000.0,1,0
393,1,0,0,0,0,0,18000.0,1,0
395,1,0,1,1,1,0,30000.0,1,0
397,1,0,0,2,0,1,40000.0,1,0
398,1,0,1,3,0,1,5200.0,1,0
399,1,1,1,2,0,0,45000.0,1,1
400,1,0,1,2,0,1,11000.0,1,0
401,0,1,1,2,0,0,8000.0,1,0
402,1,0,1,0,0,0,7000.0,1,0
403,1,0,1,2,1,0,7000.0,1,0
404,1,0,0,4,0,1,29000.0,1,0
405,0,1,1,0,0,0,11000.0,1,0
406,1,0,1,0,0,0,6500.0,1,0
407,1,0,0,2,2,0,10000.0,1,0
408,1,0,0,0,0,1,12000.0,1,0
409,1,0,0,2,0,0,6000.0,1,0
410,1,0,0,3,2,0,18000.0,1,0
411,1,0,1,1,0,0,9000.0,1,0
413,1,0,0,1,1,0,50000.0,1,0
414,0,1,1,0,0,0,6500.0,1,0
415,0,1,1,0,0,0,5200.0,1,0
416,1,0,1,1,1,0,17000.0,1,0
417,1,0,1,3,2,0,10000.0,1,1
418,1,0,1,0,0,0,12000.0,1,0
419,1,0,0,1,1,0,20000.0,1,0
420,1,0,1,2,0,0,14000.0,2,0
421,1,0,0,0,0,0,6000.0,2,0
423,1,0,0,0,0,0,9800.0,1,1
424,1,0,0,1,1,0,30000.0,1,0
425,1,0,1,2,0,0,7000.0,1,0
427,1,0,0,0,0,0,10000.0,1,0
428,1,0,0,0,0,1,20000.0,1,0
429,0,1,1,2,0,0,7800.0,1,1
430,1,0,1,1,1,0,10000.0,1,0
432,1,0,1,2,0,0,18000.0,1,0
438,1,0,1,1,1,0,14000.0,1,0
439,1,0,0,0,0,0,19000.0,1,1
440,1,0,1,0,0,0,9000.0,1,0
443,1,0,1,2,2,1,7000.0,1,0
444,0,1,1,0,0,0,5500.0,1,0
446,1,0,0,3,3,0,10000.0,1,0
447,1,0,1,1,0,0,34000.0,1,0
448,1,0,1,2,0,1,5000.0,1,1
449,1,0,1,2,0,0,13900.0,1,0
450,1,0,1,2,0,0,8000.0,1,0
452,1,0,0,0,0,0,23000.0,1,0
454,1,0,1,0,0,0,23000.0,1,0
457,1,0,1,2,2,0,12000.0,1,1
458,1,0,1,1,1,0,23000.0,1,0
460,1,0,1,0,0,0,11000.0,1,0
461,1,0,0,1,1,0,8500.0,1,0
462,1,0,0,1,1,0,17000.0,1,0
463,1,0,0,1,1,0,4500.0,1,0
464,1,0,1,2,0,0,6000.0,1,0
466,1,0,0,2,2,0,14000.0,1,0
467,1,0,1,3,0,1,12500.0,1,0
469,1,0,0,0,0,0,27000.0,1,1
471,1,0,1,1,1,0,16000.0,1,0
473,1,0,1,2,1,0,4300.0,1,0
474,1,0,1,2,0,0,10000.0,1,0
476,1,0,0,1,1,0,12000.0,1,0
477,1,0,0,1,1,0,13000.0,1,0
478,1,0,1,1,1,1,5300.0,1,1
481,1,0,0,0,0,0,14000.0,1,0
482,1,0,1,0,0,0,6500.0,1,1
484,1,0,0,2,2,0,15000.0,1,0
486,1,0,1,2,0,0,12000.0,1,1
487,1,0,1,3,0,0,7000.0,1,1
489,1,0,0,2,0,0,20000.0,1,0
490,1,0,0,2,2,0,18000.0,1,0
491,1,0,1,0,0,1,8500.0,1,0
492,1,0,0,2,2,0,40000.0,1,1
494,1,0,1,3,1,0,5000.0,1,0
497,1,0,0,1,1,0,18000.0,1,0
499,1,0,0,1,1,1,15000.0,1,0
500,1,0,1,2,2,0,8000.0,1,0
501,1,0,0,2,2,0,27000.0,1,0
502,1,0,1,0,0,1,30000.0,1,1
505,0,1,1,0,0,0,6300.0,1,0
507,1,0,1,3,0,0,15000.0,1,1
509,1,0,1,2,0,0,15000.0,1,0
510,1,0,1,1,0,0,5000.0,1,0
511,1,1,1,2,0,0,28000.0,1,0
512,1,0,0,0,0,0,7500.0,1,1
515,1,0,1,0,0,0,7200.0,1,0
516,1,0,1,1,1,0,30000.0,2,1
519,1,0,1,0,0,0,14000.0,1,0
520,1,0,1,0,0,1,16000.0,1,1
521,1,0,1,1,1,1,14000.0,1,1
523,1,0,1,1,1,0,15000.0,1,0
524,1,0,1,1,1,0,12000.0,1,0
525,1,0,0,3,1,0,10000.0,1,1
526,1,0,1,3,2,1,11000.0,1,0
527,1,0,0,1,0,0,16000.0,1,0
530,1,0,1,2,2,0,6200.0,1,0
531,1,0,0,2,2,0,35000.0,1,0
533,1,0,1,2,2,0,12000.0,1,0
534,1,0,1,2,1,0,9600.0,1,0
535,1,0,1,4,0,0,6000.0,1,0
536,1,0,1,1,1,0,17000.0,1,1
537,1,0,1,0,0,0,25000.0,1,0
539,0,1,1,3,0,0,6000.0,1,0
541,1,0,1,3,2,0,8600.0,1,1
543,0,1,0,1,0,0,10000.0,1,0
544,1,0,1,2,1,1,20000.0,1,0
545,1,0,1,2,2,0,5000.0,1,0
546,1,0,1,2,2,0,7000.0,1,1
549,1,0,1,1,1,0,11000.0,1,0
550,0,1,1,0,0,0,8500.0,1,0
552,1,0,1,2,0,0,11000.0,1,0
553,1,1,0,1,0,0,26000.0,1,0
554,1,1,1,0,0,0,23000.0,1,0
556,1,0,0,0,0,0,25000.0,1,0
558,1,0,0,1,1,1,25000.0,1,0
560,1,0,0,3,0,1,7500.0,1,0
561,1,0,1,2,0,0,16000.0,1,1
562,1,0,1,2,0,0,13000.0,1,0
566,1,0,0,2,0,0,12000.0,1,0
567,0,1,1,5,0,0,6200.0,1,0
570,0,1,1,1,1,0,7000.0,1,0
571,1,0,1,0,0,0,11500.0,1,0
573,1,0,0,2,1,0,25000.0,1,0
574,1,0,0,2,2,0,25000.0,1,0
576,1,0,1,3,0,0,8600.0,1,1
577,1,0,0,1,0,0,11500.0,1,0
578,1,0,0,3,1,0,12000.0,1,0
579,1,0,0,1,1,0,14000.0,1,0
580,1,0,1,0,0,1,25000.0,1,0
581,1,0,0,5,0,0,8000.0,1,0
582,1,0,0,0,0,1,18000.0,1,0
583,1,0,1,1,1,0,5500.0,1,0
584,1,0,0,2,1,0,15000.0,1,0
587,1,0,1,2,2,0,20000.0,1,0
590,0,1,1,1,1,0,7000.0,1,1
592,1,0,0,0,0,0,40000.0,1,0
593,1,0,1,2,0,1,15000.0,1,1
595,1,0,1,3,0,0,5446.0,1,0
597,1,1,1,0,0,0,9000.0,1,0
599,1,0,1,1,0,0,12000.0,1,1
600,1,0,0,2,0,0,14000.0,1,0
601,1,0,1,0,0,0,13500.0,1,1
608,1,0,1,2,2,0,15000.0,1,0
610,1,0,1,1,0,0,8000.0,1,0
612,1,0,1,0,0,1,12000.0,1,0
616,1,0,1,3,3,0,5000.0,1,0
617,1,0,1,3,1,0,9000.0,1,0
618,0,1,1,3,0,0,5000.0,2,0
620,1,0,1,2,0,0,20000.0,1,0
621,1,0,1,0,0,0,21000.0,1,0
623,1,0,0,2,0,0,8000.0,1,0
624,1,0,0,1,1,0,7000.0,1,0
627,0,1,1,0,0,0,5000.0,1,0
628,0,1,1,1,0,0,6000.0,1,0
629,1,0,0,1,1,0,9000.0,1,0
632,1,1,0,1,0,0,10000.0,1,0
633,1,0,0,1,1,0,19500.0,1,0
634,0,1,1,1,1,0,5000.0,1,0
636,1,0,0,0,0,0,23000.0,1,1
638,0,1,1,1,0,0,7000.0,1,0
639,0,1,1,4,0,0,4000.0,1,0
640,1,0,0,2,0,0,9000.0,1,0
644,1,0,1,2,0,1,51000.0,1,0
648,1,0,0,1,0,0,10000.0,1,0
649,1,0,1,3,1,0,10000.0,1,0
650,0,1,1,0,0,0,5600.0,1,0
652,1,1,1,2,0,0,7000.0,1,0
653,1,0,1,2,0,0,11000.0,1,1
657,1,0,0,2,2,0,45000.0,1,0
658,1,0,1,3,3,1,8000.0,1,0
659,1,0,0,2,2,0,12000.0,1,0
660,1,0,0,0,0,0,10500.0,1,1
661,1,0,1,2,2,1,12000.0,1,0
662,1,0,1,3,0,0,8000.0,1,0
663,1,0,0,0,0,1,15000.0,1,0
664,1,0,0,0,0,0,6000.0,1,0
667,1,0,0,1,1,0,23000.0,1,0
669,1,0,0,1,1,1,9000.0,1,0
671,1,0,0,1,2,0,30000.0,1,0
672,1,1,1,2,1,0,28000.0,1,0
673,1,0,1,2,1,0,18000.0,1,0
675,1,0,0,0,0,0,15400.0,1,0
676,1,0,0,3,0,0,5000.0,1,1
679,1,0,1,0,0,0,18000.0,1,0
684,1,0,0,0,0,0,24000.0,1,1
685,1,0,0,0,0,0,12000.0,1,0
689,1,0,1,2,1,0,12000.0,1,0
691,1,0,1,2,2,0,16000.0,1,0
692,0,1,1,3,1,0,3500.0,1,0
693,1,1,1,1,0,0,15000.0,1,0
694,1,0,0,2,2,1,35000.0,1,0
695,0,1,1,0,0,0,5800.0,1,0
700,1,0,0,3,3,1,25000.0,1,0
701,1,0,0,2,2,0,15000.0,1,1
702,1,0,0,3,3,0,25000.0,1,0
703,1,0,1,1,0,1,12000.0,1,0
704,1,0,1,0,0,0,28000.0,1,0
705,1,0,1,2,0,0,6200.0,1,0
707,0,1,1,0,0,0,10000.0,1,0
708,1,0,1,2,2,0,14000.0,1,0
709,1,0,0,2,2,0,29000.0,1,0
710,1,0,1,2,0,0,7600.0,1,0
712,1,0,0,2,2,0,40000.0,1,0
717,0,1,1,1,0,0,7300.0,1,0
718,0,1,1,2,0,0,5000.0,1,0
720,1,0,1,2,1,0,7800.0,1,0
721,1,0,1,0,0,1,10000.0,1,0
723,1,0,0,1,0,0,5000.0,1,0
724,1,0,0,2,3,0,15000.0,1,0
728,1,0,0,1,1,0,26000.0,1,0
733,1,0,1,1,0,1,25000.0,1,0
734,1,0,1,2,2,0,4300.0,1,0
736,1,0,0,0,0,0,11000.0,1,0
738,1,0,1,2,0,1,4400.0,1,0
741,1,0,1,3,3,0,10000.0,1,0
743,1,0,0,3,3,0,7000.0,1,0
744,1,0,1,3,2,1,6000.0,1,0
749,1,0,0,0,0,0,50000.0,1,0
750,0,1,1,0,0,0,7000.0,1,0
753,1,0,0,1,2,0,18600.0,1,0
754,1,0,1,3,1,0,4300.0,1,0
755,1,0,1,3,1,0,18000.0,1,1
756,1,0,0,2,2,0,7000.0,1,0
762,0,1,1,1,0,0,8500.0,1,1
766,1,0,0,2,0,0,25000.0,1,0
767,1,1,1,2,0,0,8500.0,1,0
768,0,1,1,3,0,0,10000.0,1,0
770,1,1,0,1,1,0,13000.0,1,0
773,1,0,1,2,0,0,15500.0,1,0
776,1,0,0,0,0,1,9000.0,1,0
778,1,0,1,1,1,1,11000.0,1,0
779,1,0,1,2,2,0,7400.0,1,1
781,1,0,1,2,0,0,17000.0,1,0
782,1,0,1,0,0,0,17000.0,1,0
783,1,0,0,4,0,0,10000.0,1,1
784,1,0,0,1,1,0,22000.0,1,0
786,1,0,1,0,0,0,4300.0,1,0
787,1,0,0,2,1,0,5000.0,1,0
792,1,0,0,2,1,0,20000.0,1,0
795,1,0,1,2,0,0,12000.0,1,0
797,1,0,0,2,2,1,20000.0,1,0
798,1,0,0,0,0,0,7500.0,1,0
801,1,0,1,0,0,0,8100.0,1,0
804,1,0,0,2,2,0,16000.0,1,0
805,0,1,1,0,0,0,6800.0,1,0
809,1,1,0,0,0,0,18000.0,1,0
810,1,1,1,2,0,0,16000.0,1,0
815,1,0,1,0,0,0,14500.0,1,1
816,1,1,0,0,0,0,12000.0,1,0
818,1,0,0,0,0,0,27000.0,1,0
820,1,0,0,1,1,1,18000.0,1,0
823,1,0,0,2,0,0,23000.0,1,1
828,1,0,1,1,1,1,20000.0,1,0
829,0,1,1,3,0,0,4000.0,1,0
831,1,0,1,1,1,0,17500.0,1,0
835,1,0,0,5,1,0,30000.0,1,0
836,1,0,0,1,0,0,17000.0,1,0
840,1,0,1,3,0,0,5500.0,1,0
841,1,0,1,2,0,0,4300.0,1,1
843,1,0,1,3,0,0,4500.0,1,1
845,1,0,0,2,2,0,9000.0,1,0
846,1,0,1,1,1,0,12000.0,1,1
848,1,0,1,1,1,1,8000.0,2,0
850,1,0,1,1,1,1,18000.0,1,0
851,1,0,1,0,0,0,30000.0,1,1
852,1,0,1,1,1,0,18000.0,1,0
853,1,0,1,2,2,1,15000.0,1,0
856,1,0,0,2,2,0,19600.0,1,0
857,1,0,1,3,1,0,17000.0,1,0
858,1,0,1,4,2,0,26000.0,1,0
860,1,0,1,1,0,0,11000.0,1,0
861,1,0,0,0,0,1,17000.0,1,0
862,1,0,0,1,0,1,15000.0,1,0
863,1,0,0,0,0,0,9000.0,1,0
865,1,0,1,2,2,1,23000.0,1,0
866,1,0,0,2,2,0,22000.0,1,0
867,1,0,1,2,1,0,9000.0,1,0
871,1,1,0,2,0,0,12000.0,1,1
875,1,0,1,1,1,0,19000.0,1,0
879,0,1,0,0,1,0,15000.0,1,0
881,1,0,0,3,3,0,8000.0,1,0
882,1,0,0,1,1,0,40000.0,1,0
883,1,0,1,2,0,0,14000.0,1,1
884,1,0,1,2,2,1,6200.0,1,0
888,1,0,0,2,0,0,10000.0,1,0
889,0,1,0,0,0,0,14358.0,1,1
898,1,0,1,2,2,1,10000.0,1,0
899,1,0,0,0,0,0,26000.0,1,0
903,1,0,0,1,0,0,12000.0,1,0
904,1,0,1,3,3,0,10300.0,1,0
907,1,0,1,1,0,0,6500.0,1,1
908,1,0,0,2,3,0,7000.0,1,0
910,1,0,0,1,2,0,13000.0,1,0
913,1,0,1,3,0,0,13000.0,1,0
914,1,0,1,2,0,0,27000.0,1,0
916,1,0,0,1,2,0,54000.0,1,0
917,1,0,0,0,0,0,32000.0,1,0
919,0,1,1,0,0,0,6000.0,1,0
920,1,0,1,1,1,1,10000.0,1,0
921,1,0,0,0,1,0,15000.0,1,0
